X'047d1dba3edeba34c0a80133'
X'32313b3f39dc1962c0a80118'
X'364759463ec07de3c0a80132'
X'3a5c0e3847526629c0a80132'
X'3c39207a46506360c0a80135'
X'5b2423d54383906bc0a80134'
X'5c2630f93edfff68c0a80132'
X'5ff120923fc5cc59c0a80132'
X'613968c43c75357bc0a80119'
X'635c54243a116ed2c0a80119'
X'768c6b4c430139edc0a80132'
X'8f5412d2450c9a1fc0a80133'
X'91f6031a3faba1d5c0a80134'
X'98b7479549661115c0a80134'
X'ad536a3e39f9e703c0a80119'
X'b5252a2f4a663b53c0a80134'
X'b5c45073443d7f81c0a80133'
X'b9d12cd03ec311c8c0a80133'
X'bb2b2ce53a40ce4ec0a801e0'
X'c4e971a9437a1376c0a80133'
X'd0c2364f3a1b1f37c0a801e0'
X'd78c0ef63d7c0c98c0a80118'
X'e4491aa14056f579c0a80133'
X'e7cc4d0a3a2569eec0a80119'
X'ee6339c6417e0c6cc0a80132'
X'f05d346f42f7aa0fc0a80132'
X'f0ba144c3a5c7e98c0a80119'
