X'066e5fb34d797872c0a80134'
X'08ac0a9d4c370b8ac0a80135'
X'0ff117044cd837a0c0a80134'
X'17b51a2549404d74c0a80132'
X'255630954d951b3dc0a80133'
X'30a959814e458147c0a80134'
X'3313680a4e15d3adc0a80135'
X'67f9426a4e245bb9c0a80133'
X'96cc39204bb743acc0a80132'
X'9f571148498602c3c0a80132'
X'b0e92ff74c18e7cdc0a80135'
X'b571700d4e18500cc0a80132'
X'b9a7489b4c4847afc0a80135'
X'c66357524c1fa544c0a80132'
X'c8ef66ee4c22318dc0a80132'
X'd294713f429d2911c0a80133'
X'd29e1a254940455ec0a80132'
X'dc3f5c064c1a2634c0a80133'
X'efef2fda4e172a09c0a80133'
X'fe132ff74c18f57ac0a80135'
