X'0ed2238a42d198a0c0a80133'
X'458730c540dbc5fcc0a80134'
X'9103291d4edd3481c0a80135'
X'e95b630b3d34d4fdc0a80118'
X'f66773e63c1002ccc0a80119'
X'f7a7070b45979d50c0a80132'
X'fc2104f442d09d86c0a80134'
