X'13004b14417d49cdc0a80134'
X'197e702b3adf8125c0a801e1'
X'311b4b4e4e4139e3c0a80134'
X'46b248d245b0d9b5c0a80132'
X'6ea9287d5823c2e6c0a86fa6'
X'98131aa74e83a18bc0a80135'
X'aa1071ed422a2967c0a80133'
X'b8cd43964a4a3246c0a80135'
X'c4126560511fa11dc0a80132'
X'ce515a8846468c95c0a80133'
X'dae86cac51e575c9c0a80135'
X'dfe35bb2503eae4fc0a80134'
X'ee0e1fe7486015b0c0a80134'
X'f5403748528f5f9ac0a80135'
X'fcf66c0a4bc2e472c0a80134'
