X'06131ea44aceb3e7c0a80132'
X'149331534d8e1004c0a80133'
X'3d38464148615704c0a80135'
X'558407824c347fd5c0a80133'
X'5657288a4b8b3f7fc0a80132'
X'7336235243bdf2edc0a80132'
X'9d8e588f4d4973bdc0a80134'
X'a251263454b3e914c0a86f98'
X'b0135faf4b97c84dc0a80132'
X'bc89010b52f967d8c0a86f99'
X'c7b031714c33afc1c0a80134'
X'd294713f429d2911c0a80133'
X'f6e203023bb0e685c0a80119'
