X'05a1032d431f5a6cc0a80132'
X'0e6651324016a615c0a80132'
X'0f7201333e4a6419c0a80134'
X'138258883a85bbacc0a80118'
X'255014733ee8960cc0a80134'
X'3df127ef3a29dc9bc0a801e0'
X'480e426239f08eefc0a80119'
X'75451ab13f44f476c0a80132'
X'7873034c3ffdc749c0a80133'
X'798957d23eea839ac0a80132'
X'7d6e03ec3edfe3d8c0a80132'
X'8e4c75103a04353dc0a801e0'
X'997460393b5de5bec0a80118'
X'9a1003463f854d24c0a80132'
X'a47b54e93ea69373c0a80133'
X'a60d56c23ee394e2c0a80132'
X'cea90d243ce3e838c0a80119'
X'ebbe23593ebf0505c0a80133'
X'eccf6d443b027c43c0a801e0'
X'f898284c3ccd784ec0a801e0'
