X'244a230f41baa635c0a80133'
X'34d9374c3fed1befc0a80134'
X'568c65af3e37b70ec0a80135'
X'92c00f0f3fc55414c0a80132'
X'a10221233f127f4ec0a80132'
X'bc4b01d240572645c0a80133'
X'be9c39ad3f0bb438c0a80133'
X'dcf76a6244946d76c0a80134'
X'e1eb495f3f170083c0a80134'
