X'011a67d445423553c0a80134'
X'06d125f23bb1e142c0a80118'
X'139537ae45065580c0a80133'
X'390f08e53bc63ba7c0a801e1'
X'493240e640da75a6c0a80132'
X'4deb662639f87512c0a80119'
X'55b02e8a40cddce8c0a80133'
X'5b0a029744609955c0a80134'
X'87ee6f5d3bd7be88c0a80119'
X'a09e49b1457057d0c0a80134'
X'a4a754e93ea6948dc0a80133'
X'ac2a4d2344e86cd0c0a80132'
X'bccf274341f950e4c0a80133'
X'cea90d243ce3e838c0a80119'
X'dba857563a3e4eefc0a801e1'
