X'305b4d103ea902b2c0a80134'
X'357649003b81c334c0a801e0'
X'3b0f26f23a493af7c0a80118'
X'61c368653a74617ec0a801e1'
X'7c3837a139adddcfc0a801e1'
X'c515045f3af10f02c0a801e1'
X'c68d285e3e289a45c0a80135'
X'c7dc329d3f7a1e44c0a80133'
X'ee93095339decd95c0a80118'
X'f536136e398235c6c0a80118'
