X'036e19fc39788197c0a801e0'
X'05f30bcf467880b1c0a80134'
X'0b381b83487523efc0a80132'
X'0c953e1945afdeecc0a80132'
X'0e6651324016a615c0a80132'
X'12e05e703a774157c0a801e1'
X'18d3519643a43f0cc0a80133'
X'19b443d63c508161c0a80119'
X'2869714b3c74875ac0a801e1'
X'362f6a6442416c7ec0a80133'
X'36804f44423c628ec0a80134'
X'3ecb4d793f55f621c0a80132'
X'407b161c41abd48bc0a80132'
X'44be0bda43d6f201c0a80132'
X'44e313af46930049c0a80134'
X'48a04f71425ca7c9c0a80132'
X'4df340f24765c6adc0a80133'
X'52ca18a13bdc8ed0c0a801e0'
X'5da102c84416fc7ac0a80133'
X'63c025f73a39b9f4c0a80119'
X'69f139da45acee65c0a80135'
X'6a9a640e3ca11094c0a801e1'
X'715f610a3ab2a4c3c0a80119'
X'71e1594a3f733a0fc0a80133'
X'72a117ba4363e503c0a80133'
X'7835752b41f50795c0a80134'
X'798957d23eea839ac0a80132'
X'80d008d93f22a135c0a80133'
X'819141313cdc2ad0c0a801e0'
X'867013de3d00bfb4c0a80118'
X'90c718d742ae903ac0a80132'
X'91f91a57479614dac0a80135'
X'938a60393b5de1bac0a80118'
X'94032fdc4092c22bc0a80132'
X'9506161b438101b8c0a80134'
X'a6f135b5454bab30c0a80134'
X'a88c420644a1aa62c0a80134'
X'b3d141d941e81317c0a80133'
X'ba6a161b39dba08bc0a80119'
X'bc2b278a3b02a024c0a801e0'
X'c49e3354468bd22bc0a80132'
X'cafb114c43664be4c0a80132'
X'ce0304d545952c64c0a80133'
X'd19a15a03af97f16c0a801e0'
X'd73003a040f05984c0a80132'
X'e80d41d941e82b4ec0a80133'
X'f4e04191429e64dcc0a80134'
X'feb807b542228bf2c0a80132'
