X'052e3aeb39dde9c2c0a80119'
X'0c3504d83bb8bdcbc0a80118'
X'252b1fc339e5ae64c0a80118'
X'357649003b81c334c0a801e0'
X'3b136dc53af30749c0a801e1'
X'5149524b3f2ed982c0a80133'
X'598a154739d44998c0a80118'
X'68b671ce3c17d8e2c0a801e0'
X'6b865c6f3b445bfdc0a80119'
X'8b9c55e13a78f0b5c0a801e0'
X'9fb50ed13e1e26f7c0a80133'
X'a9ca251939cd326ec0a80118'
X'b8b94ea53b50f707c0a801e1'
X'bd02251939cd37d7c0a80118'
X'bf7634343a80c946c0a80118'
X'c0353f8539d9f77cc0a80118'
X'c95854143d4098f4c0a80119'
X'ce5b624039e354fdc0a80118'
X'dfe10a143c045479c0a801e1'
X'eb3b03523f6a5176c0a80132'
X'ed9a3af33a306feac0a80119'
