X'5FC72A9D3E4FF44BC0A80135'
X'C9701ACC3EA9F8D9C0A80133'
X'1C8C19F846E73B3AC0A80135'
X'363869133FA07EA5C0A80134'
X'14972CA33F6687B6C0A80132'
X'48EA36AD40720916FFFFFFFF'
X'C2E5296851EACA2BC0A80132'
X'C36B15024F1B0DF1C0A80132'
X'9D9C1A6254A73EEFC0A86F98'
X'3B0E470F4F3C499FC0A80133'
X'1D1C0245486A9F5BC0A80135'
X'04A05F8256A27231C0A86FA6'
X'E86758D341F71217C0A80132'
X'D83F23F5579940F2C0A86FA6'
X'6AAE431C49E33CF0C0A80133'
X'DDC33FE957CD7AC7C0A86FA6'
X'D2FB2D96585B0C1FC0A86FA6'
X'93C470715862B5EAC0A86FA6'
