X'0dfb63313a402907c0a80119'
X'1dd473073e3adcfdc0a80133'
X'24a71c3f39bb9fa8c0a80151'
X'59ef3d8c3fbfe537c0a80132'
X'5a310e823b2ff9b1c0a80119'
X'784141c13986391ac0a801e1'
X'91ff25de44c7ff85c0a80132'
X'dbc953323a8fe255c0a80118'
X'e66f02a246662150c0a80132'
X'ec633fd03d849c21c0a801e2'
