X'023e4cdb4776de56c0a80132'
X'0dc606cc4945ded2c0a80132'
X'1ab86650441ae56cc0a80132'
X'41dc2e8b47e7edd8c0a80134'
X'42433b974e16d902c0a80134'
X'7750729743b5a2cfc0a80132'
X'86fd2a184398e6e8c0a80134'
X'872a3c9a4873432cc0a80132'
X'919371a9437a246dc0a80133'
X'9a1003df47f59604c0a80133'
X'a99e60b1434e896ec0a80134'
X'ad29736f436e29b2c0a80134'
X'c08e147847a39e1fc0a80135'
X'd34b3caf44d906d8c0a80132'
X'dc476a6c3eecf7d5c0a80134'
X'edde1fad42a07735c0a80133'
X'f2d4127f43d8df61c0a80132'
X'f62c52124975ed8ec0a80132'
