X'0a013a5c4ee3153fc0a80135'
X'0ea92ad8556da19cc0a86fa6'
X'13004b14417d49cdc0a80134'
X'200526d850056578c0a80132'
X'566b06df5066012ac0a80132'
X'57ef405f437e5e7fc0a80133'
X'5c2a529a3d4caa0bc0a801e0'
X'6f4110de418f593ec0a80134'
X'7259328f49cc01f3c0a80135'
X'74a6231f4bdaf075c0a80132'
X'7ac466b542ea668cc0a80134'
X'83d470eb4c37b3d7c0a80134'
X'88fd14e452f47c1dc0a86f98'
X'9eb433c73b60d3a2c0a80119'
X'a04e185a564a4145c0a86fa6'
X'a08013af3d55b171c0a801e0'
X'a9d917263eef68fac0a80133'
X'c60c6df051b01a5fc0a80134'
X'c7e564ab4ce45971c0a80135'
X'd0e54bfc4e4e96c0c0a80132'
X'dad4412d5540f68cc0a86fa6'
X'e42405bb3b6f6c3ac0a80118'
X'f17b5cc354f8c975c0a86fa6'
