X'0ba7032b41f058e9c0a80134'
X'4e95102c46f28fecc0a80133'
X'5fc92df646f28fe3c0a80132'
X'5fca2df646f28fe4c0a80132'
X'69ac21184148973bc0a8013c'
X'86ed426f3de17e71c0a80132'
X'9bc308713a135381c0a80119'
X'a18062a241a3bd67c0a80133'
X'ccd3031746b10388c0a80134'
