X'0b913b45398a1f41c0a80119'
X'0c134bfb5457e02bc0a86f98'
X'0cc5373b4ba24d66c0a80133'
X'127e01d04924db93c0a80134'
X'1e3f5dcf4709086cc0a80133'
X'20894fda48d1cd4ec0a80135'
X'2add14b942431c72c0a80132'
X'2de747094bd7deabc0a80132'
X'2f0b674846100b94c0a80135'
X'30b53d0d5463d59fc0a86f98'
X'3b25555a503c19f2c0a80134'
X'3ccf54e350d94c1ec0a80135'
X'3f9454e350d954c2c0a80135'
X'42433b974e16d902c0a80134'
X'45ea1708480d386ac0a80132'
X'467f644b4ba71467c0a80132'
X'4ce546725361523cc0a86f99'
X'51050c7951426c79c0a80132'
X'548d031e4951bd1fc0a80134'
X'565041994d7344a6c0a80135'
X'5a80344245ef3333c0a80135'
X'605d59c939f9ac68c0a80118'
X'60654b7942d1cbf0c0a80132'
X'641802cf500ca973c0a80135'
X'758c742254de4c0fc0a86f98'
X'75a042dc4c0e8601c0a80135'
X'77dd5f4f3dc9d397c0a80134'
X'7c40038a3ed2aaaec0a80133'
X'7e9101c23d5088efc0a801e2'
X'8c590a824c052cb1c0a80135'
X'8da90cae3bab7abac0a80119'
X'919d6e414d2f5c62c0a80134'
X'94cd68e25491f32cc0a86f98'
X'98df13394bd0c69fc0a80133'
X'a10221233f127f4ec0a80132'
X'a2ee700552c59e7ec0a86f98'
X'a424459549dcf6cdc0a80135'
X'ac5257c23e1ef061c0a80135'
X'ada80368405754d3c0a80133'
X'aec701cde7e36e023c3ec5f4'
X'b38d1cb63c090fd6c0a801e1'
X'b3901cb63c09102fc0a801e1'
X'c919567a4742306bc0a80132'
X'ca5448f24a6e6479c0a80133'
X'cb31736d499ac034c0a80134'
X'ccdd43a950292511c0a80134'
X'dd792f093c716580c0a80118'
X'deab46923d5a5b44c0a801e0'
X'debc31fe4af47dd2c0a80133'
X'df5041d941e840c9c0a80133'
X'e1f003543efcc3abc0a80134'
X'e33204a73be74198c0a801e9'
X'ee0e1fe7486015b0c0a80134'
X'f0871df24d7ee676c0a80133'
X'f3fc5f963b6862f0c0a801dc'
X'f4515c735117b170c0a80135'
X'fb7d1da2523dfc0fc0a80134'
