X'106a632e41ee6fd2c0a80132'
X'1b6762b939db5bd7c0a80118'
X'1dd653bd3e35881dc0a80133'
X'251a5798397cf690c0a80119'
X'30b53e22397e6c6fc0a80118'
X'313c4e2d42aee682c0a80134'
X'39256cc13c7054a2c0a80119'
X'422e2048408d2904c0a80134'
X'5d9f025a39ad7bafc0a80151'
X'5ebb55ee3978c9e2c0a801e0'
X'66490dfb39f2ef3ac0a801e1'
X'6ac5685f3df64988c0a80135'
X'7e673b1c3a27d064c0a801e1'
X'813e66793973478fc0a801e1'
X'a5ca686139c692fcc0a801e1'
X'b69f5e7a3c71c2ffc0a80118'
X'c662617a3d91c9a0c0a80134'
X'df5b55e73e6bae37c0a80133'
