X'502c02903d066f58c0a801e2'
X'668a1c583f6cd9fcc0a80134'
X'6ae33f923c997837c0a801e1'
X'b2a7442739fdd30cc0a80118'
X'bfa738943cd64aaac0a80118'
X'fadd6efc3d9ad49cc0a80132'
