X'0a964e93524e64f5c0a80132'
X'34e3508140b38a65c0a80133'
X'5a2a515c3dadd7f2c0a80134'
X'622646634fc7b160c0a80133'
X'74ab394642f62f5ac0a80134'
X'7e0d3bff39992694c0a80119'
X'917d6b854749157bc0a80133'
X'92f20f5c47c72796c0a80132'
X'9a6a3670492583bec0a80132'
X'fdb6391d53020f91c0a86f99'
