X'04832b1452d58fbcc0a86f98'
X'2ce269964506554cc0a80132'
X'5790475b5106bf27c0a80135'
X'92f20f5c47c72796c0a80132'
X'935c1e5c48471dc3c0a80135'
X'97495a155179e33bc0a80135'
X'98b366ef4b895128c0a80134'
X'c892140751836a95c0a80132'
X'e7316945506318eac0a80132'
X'867E6C624F31A903C0A80134'
