X'0cff318d561fb34ac0a86fa6'
X'252a117c4a5d7f34c0a80134'
X'5e47373348207cc2c0a80132'
X'98360f68561b0c43c0a86fa6'
X'9eb433c73b60d3a2c0a80119'
X'c7ed28634ca5e34cc0a80135'
X'c80733b0450fe6bdc0a80133'
X'cab2380650665420c0a80134'
X'e315544a56bca743c0a86fa6'
X'f9d44d3556baa502c0a86fa6'
