X'1e7570bc4b167fbec0a80134'
X'2308469b46e7b8d2c0a80135'
X'29ae387a4861c77dc0a80135'
X'4f07142a49b15640c0a80134'
X'86ed426f3de17e71c0a80132'
X'8af3440d4a137cd3c0a80135'
X'8b6503da3fc12463c0a80134'
X'93d7571942160d4ac0a80133'
X'aaa73e884242da64c0a80132'
X'b5cb0efd4988543ec0a80134'
X'cd50014647b1c525c0a80133'
X'dfb60a1c48c0e6f1c0a80135'
X'f4f073a54773e0fcc0a80134'
X'fec5431645ed8d27c0a80132'
