X'21dc6d8239cdb91fc0a80119'
X'3a566c8d39df3b40c0a80119'
X'3d9c39f03aa90f2ec0a801e1'
X'55321c8639cc8c2ac0a80119'
X'5bd65a2e39fc6c17c0a80118'
X'5d20150239dbd241c0a80119'
X'6ef2034739d01750c0a80118'
X'76eb4a163a3721c5c0a80118'
X'8aa9181b39d2a195c0a80119'
X'8e6d03d83a19e605c0a801e0'
X'c7ae13e13a6932dcc0a801e0'
X'e5d465253a67a211c0a80119'
X'f0d522c439d4494ec0a80119'
