X'001f1fbc3ac55dbbc0a801e0'
X'0092055c4216976ec0a80132'
X'01490c974ad35d74c0a80133'
X'01b1748e3a23c4adc0a801e1'
X'0310292945b7aef7c0a80134'
X'0349741b4bb4f2a2c0a80134'
X'03a70e023c6161c5c0a80118'
X'03c11cdc45ec4cf9c0a80133'
X'04ff56a03b7d68a5c0a801e1'
X'06523d8f442f7885c0a80132'
X'0754312e3b4a07d4c0a80118'
X'07b1550b42ad96acc0a80132'
X'07b418883f74ed5dc0a80132'
X'07d307f13d5bff16c0a80119'
X'082a2b7448c87641c0a80134'
X'090f1a3141e0357dc0a80133'
X'09172d633a7f51e7c0a801e0'
X'09881ee94d0af616c0a80132'
X'09ac3de14b542475c0a80132'
X'0a3e125941dd8a29c0a80133'
X'0ac158323f65ef26c0a80134'
X'0b83256455da9752c0a86fa6'
X'0bbb0944480e54e3c0a80135'
X'0d2348423f6696e1c0a80132'
X'0d2528a646a60943c0a80133'
X'0d535e30468a4ad0c0a80132'
X'0d8c3d1c472246c8c0a80135'
X'0d96037d3eb26235c0a80133'
X'0da56b6c3d763f03c0a80119'
X'0dec16ff43a791d9c0a80134'
X'0e0a1d4546d5e17ac0a80135'
X'0e2c19b349a84527c0a80132'
X'0e2d57254d0cd606c0a80135'
X'0f3550174e4338aac0a80132'
X'0f7201333e4a6419c0a80134'
X'0feb10bb465f8038c0a80134'
X'105a30d749fd4720c0a80133'
X'11b144d63f747078c0a80133'
X'124902034c0429d8c0a80135'
X'125262bc3ee9b1bec0a80132'
X'12776597441a22dac0a80134'
X'12da3f8939da02b3c0a80118'
X'13004b14417d49cdc0a80134'
X'13df3df941ac809dc0a80133'
X'14041e9e3b41d9d5c0a80118'
X'143f3189469e31afc0a80134'
X'1450729342b1d5cdc0a80132'
X'147e367a3ba60fb6c0a801e1'
X'14fb2eff46b7677ac0a80133'
X'15e135e5467fc9e0c0a80132'
X'1647085d48ac052cc0a80133'
X'166b743a509bd0a7c0a80135'
X'16e703384701e897c0a80133'
X'17ad685342d66ebbc0a80133'
X'182d5f5c4d21cb7bc0a80134'
X'185d0e87473ef77dc0a80133'
X'18716c283a416fe1c0a801e0'
