X'051069674d100183c0a80135'
X'0edd1aa94887eddbc0a80134'
X'20a96b624aa7e33cc0a80135'
X'2fee4aec52d3ccd9c0a86f98'
X'361601113d2b14e7c0a801e0'
X'4b9f49274c29da61c0a80135'
X'4f3912d35b3bf0c4c0a86fa6'
X'4f5549274c29dc60c0a80135'
X'513d737147e08121c0a80133'
X'73bf752c48472b8dc0a80135'
X'79ba5c8048aa2d2fc0a80135'
X'945b17d254933b34c0a86f98'
X'9ee831a547cffc09c0a80134'
X'c43830e63e05b1a4c0a80132'
X'd3d22a0f441ef4b2c0a80134'
X'dd495bf95900f35fc0a86fa6'
X'e58614b73d40a944c0a801e0'
X'e7ab30cc5a293c16c0a86fa6'
X'fa405b014c0f067dc0a80135'
