X'072762fc48873e87c0a80132'
X'13ba074446285b32c0a80132'
X'5afc4ffe45a7ace8c0a80133'
X'72ea1e593d3b86d5c0a801e0'
X'73d06c043c429840c0a801e1'
X'79f90b2e488655b7c0a80133'
X'b1aa283c40bf5f1ec0a80133'
X'cc794b413d173f1cc0a801e0'
X'cee911c845ddcd5fc0a80132'
X'e5be233543bdc5fec0a80132'
X'e8174bee45e1b703c0a80134'
X'eb35636a470127f6c0a80134'
X'fc656992463f7398c0a80133'
