X'0fba13ec56095c5ac0a86fa6'
X'1ad269a8592c8be8c0a86fa6'
X'1e75318055d72efcc0a86fa6'
X'56c92a2d560a973fc0a86fa6'
X'5d8e09ab54b6bb76c0a86f98'
X'5ef30a93551dee49c0a86fa6'
X'9493546756953280c0a86fa6'
X'b2094a19559bf8bbc0a86fa6'
X'c8dc267855cacb6ac0a86fa6'
X'e1cc575d55bfb112c0a86fa6'
X'f1db72c257eebddac0a86fa6'
X'f2056b2d52ed3139c0a86f98'
X'f38661483ecd7f0fc0a80134'
X'fde7194c560966cbc0a86fa6'
