X'07c24a734786ed07c0a80133'
X'0a2b6d4846fc05e9c0a80135'
X'938e430c4779cfc3c0a80132'
X'9b382c5147577c2fc0a80135'
X'9f9c6b1347506f0bc0a8013c'
X'd8373e0b4765bc40c0a80132'
X'ddf26eb43cf6d60fc0a801e0'
X'e36b2c0d47c09d82c0a80135'
