X'0ba70f3145863ab3c0a80135'
X'296b6a6f47aa3f10c0a80134'
X'391b6f6e4561fe70c0a80133'
X'3b35447045a44cc7c0a80135'
X'68121cca45a032c3c0a80134'
X'7edb219545749be2c0a80134'
X'8b6f618e459b9391c0a80133'
X'97dc61e045905776c0a80132'
X'9d9c46483d4e64cfc0a80119'
X'ea3655d1457d04e2c0a80134'
