X'382d11fb42b43927c0a80133'
X'716725a83ed28e1fc0a8013c'
X'716a25a83ed28e33c0a8013c'
X'8a715a933eda40b6c0a8013c'
X'8f7b352c39d514a4c0a80118'
X'dabc28083eda3fe3c0a80132'
X'ff304fc642f69903c0a80133'
