X'0ff0046354ef62b8c0a86f98'
X'141d45403aac14fdc0a80118'
X'22c55faf4d2bdb40c0a80133'
X'28eb390c55d74096c0a86fa6'
X'35295416537678b3c0a86f99'
X'36e3728150437881c0a80132'
X'44a71b7e504d5637c0a80132'
X'467f644b4ba71467c0a80132'
X'46be35d55437431ec0a86f98'
X'587245ad51882348c0a80146'
X'58c953364d89767fc0a80134'
X'5e106ec452e6c061c0a86f9c'
X'7336235243bdf2edc0a80132'
X'7b1a65664c7515d5c0a80135'
X'83802a633d595213c0a80118'
X'8f75720a51d1bbc0c0a80132'
X'943a6fd23ac77ee5c0a801e1'
X'a1cb3d4546326111c0a80135'
X'a84135c95391e69fc0a86f98'
X'a99f0aac4f27249ac0a80133'
X'aef534a85073990bc0a80135'
X'b4c462584c664298c0a80133'
X'c801122d4f8c2fd2c0a80132'
X'ca7912443a1583d9c0a801e1'
X'e47c0b0c50eaab73c0a80134'
X'fbdf1ebf4f8ecc02c0a80133'
