X'01421bf3452e4b9bc0a80132'
X'0318557d47a2a0fddaa5d03f'
X'090f029f451aac24c0a80134'
X'15323a9d3c6037abc0a801e0'
X'15373a9d3c603816c0a801e0'
X'311908a94534ddf5c0a80134'
X'3cb46f4845425523c0a80134'
X'42d202d746bff8c9c0a80133'
X'4688025f458c72dbc0a80134'
X'5e0a187d39dac288c0a80118'
X'9a8832d03fddcddfc0a80134'
X'b73b0297451aad26c0a80133'
X'd28160c6405b04afc0a80132'
X'd5a40504451a8392c0a80132'
X'de1c1f7d457fdf7bc0a80135'
X'dfec1cad4708185fc0a80135'
