X'084a0fd93f60ad6dc0a80133'
X'110232b44a55de19c0a80135'
X'62f86c07417700aec0a80133'
X'a6a804743b6abdb6c0a80118'
X'b1b9162740fedba9c0a80134'
X'b2d52f5041dda8e9c0a80132'
X'c0f863e94308cb63c0a80133'
X'dd4e5f693b858743c0a80118'
X'fb804be94bc73c79c0a80133'
