X'19035d544005eadbc0a80134'
X'1932434a45df43d6c0a80134'
X'229c721142a459acc0a80133'
X'28b6440a426570b8c0a80134'
X'502d3c0739dbce51c0a80119'
X'654713e839cb9550c0a80151'
X'6b865c6f3b445bfdc0a80119'
X'72a117ba4363e503c0a80133'
X'77e30dad3e787e89c0a80135'
X'856d3b1c3a27d1afc0a801e1'
X'93615a3e425c1cf8c0a80133'
X'991b503439e50aefc0a80119'
X'9f99503439e5109ec0a80119'
X'a69c034840964c59c0a80133'
X'aaba4f4c3f83882fc0a80134'
X'b23d6bfd3a1498a0c0a80118'
X'b5906a5a3f81dbecc0a80133'
X'be14193142b0717bc0a80133'
X'c64637d843970adec0a80132'
X'cef847e74058aaf1c0a80134'
X'ed891c3146755a8ac0a80135'
X'f3873d8c3fc00eefc0a80132'
X'fe1870753ac93398c0a80118'
