X'0008206c3a2af3ddc0a80118'
X'02ce39d93b06b54fc0a801e1'
X'02e1195e39786b6ac0a801e1'
X'0fea5b7339e22a3cc0a80119'
X'171b30743a22548bc0a801e1'
X'23f4256c3bf219cfc0a801e1'
X'3e26056c3b7be7a9c0a801e0'
X'4267024539f6db11c0a801e1'
X'444d39443cc78eb6c0a801e0'
X'445711563a3a0dd9c0a80118'
X'607e3de2399f0222c0a801e0'
X'60973de2399f038ac0a801e0'
X'6ad2338e39ff0407c0a801e1'
X'79e02bcd39e11346c0a80118'
X'8b92038939cfd678c0a80151'
X'8c4d35423a26a9fcc0a801e1'
X'928403753978699cc0a801e0'
X'9e9e15243a1c37d0c0a801e1'
X'b7d55e9f3aa970ffc0a801e1'
X'c061078a39c3aa54c0a801e1'
X'cbd02fd139a199b4c0a801e0'
X'cea90d243ce3e838c0a80119'
X'cf5247c63b15b171c0a801e0'
X'e00609f53b37f945c0a80119'
X'e04a03a33a23b470c0a80118'
X'e1a546f63a242140c0a80119'
X'eafb35c33a21c0d1c0a80118'
X'f218664539e36985c0a80118'
X'f89720603a9fc4cec0a801e0'
