X'0f6703404166dc67c0a80132'
X'13ed45403aac065ac0a80118'
X'4c2c3ed6405338bec0a80133'
X'516174363bb2c21ec0a80118'
X'53734ea44162e164c0a80132'
X'5f991e4f42385417c0a80133'
X'60ab5772422c5453c0a80132'
X'62ad402341ff006bc0a80134'
X'736c26be3e53ffecc0a80132'
X'796028db420f82eac0a80133'
X'79e6009040c0da0ec0a80133'
X'85cf4ab6ecb141bc444d6c42'
X'a7b317683abeaa1ec0a80119'
X'c1f77292414af38dc0a80134'
X'c44319af3f33569fc0a80132'
X'c6bf1fb141c30d67c0a80134'
X'cafa2aab3ff9a0f9c0a80132'
X'd0c964cd42ae2dfcc0a80133'
X'd35921c23f33d424c0a80132'
X'd3b93df139c805a2c0a801e0'
X'd4f92d753b6f67c9c0a80118'
X'd79b58c643136705c0a80134'
X'f1b22b6541ae1d72c0a80133'
X'f4662d4241827e9fc0a80134'
X'fea915e73bb630e3c0a801e0'
