X'4D163F8039DA2D9FC0A80118'
X'A7DB4C02399D7CEFC0A80119'
X'9B0A390F39A2821CC0A801E0'
X'F69902F139B88648C0A801E0'
X'5DDD068D39C4E30DC0A80151'
X'5A013F8C39DA5A44C0A80118'
X'F9AB44CA3EEB50DDC0A80132'
X'70796B153D6FA659C0A801E2'
X'2F3F2BFD3A282E80C0A80119'
X'E69165623A402151C0A80119'
X'3DC527293A193CD0C0A80118'
X'EAD430BA3A44C852C0A801E1'
X'B99845883991BE6BC0A801E1'
X'7F1D3BFF39992BCCC0A80119'
X'736664283A4FA2D3C0A801E0'
X'C09774F139F7DF20C0A80119'
X'1FBE00C73A5A39F6C0A801E1'
X'7E71089F3A4F882FC0A801E0'
X'EA4E68DD3A5DC284C0A80118'
X'C6D13260396F3255C0A80119'
X'A03838004068AF2CFFFFFFFF'
X'CE155F203A400BBFC0A801E0'
X'193C27923AA17977C0A801E1'
X'5B630F183ACDE1CAC0A80118'
X'52C6730B39E3391BC0A80119'
X'AB3073E339DE73F2C0A80119'
X'F3C074AB3A71E0B0C0A80119'
X'9DF0329F3A9B2BF2C0A801E0'
X'5A6A1F273A0D7815C0A80118'
X'BF57449C39CE325EC0A80119'
X'AB461D8439E1F8C5C0A80119'
X'E99B1D143A3400D9C0A801E1'
X'52FC089F3A4FD25EC0A801E0'
X'20860F5B3A4AB963C0A80119'
X'D135210139E2BC62C0A80118'
X'862A164F3ACE2AD5C0A801E0'
X'4C124F8C3AE753D0C0A80118'
X'D138210139E2BC7DC0A80118'
X'69AF25B63AC8AC61C0A80118'
X'472D216F3B1B8E8BC0A801E0'
X'2E296EF63B40BFD9C0A801E0'
X'22732EA939887D52C0A80119'
X'3FBF14F23B572F3CC0A80118'
X'D30144D13B5DDF37C0A801E1'
X'712F2ABF3B181EFAC0A801E1'
X'FA1810FD3B5DF0A4C0A801E0'
X'D52514253B5E5DDAC0A801E1'
X'3D7A4BF73B61A838C0A801E1'
X'6A69675C3B61AAECC0A80118'
X'A4B3386D3B61BFEDC0A80118'
X'ABF3309D3B5F2260C0A801E0'
X'EAEA1B123B7099CBC0A80118'
X'6F4103513B772BE8C0A801E1'
X'99695DD23B796F32C0A80118'
X'B59222373B6E42DBC0A80118'
X'FAB203163B5DD90AC0A80119'
X'5EED6FCF3B8F1945C0A801E1'
X'130932523B15CA86C0A801E0'
X'562B4D1B3B606933C0A80119'
X'8EFB38CF3B5EF11BC0A80119'
X'6E7933E53BB69F07C0A801E0'
X'560F4E1C3BC37E35C0A80118'
X'F08E42733A3DC853C0A80119'
X'CFA154CA3BCA2CABC0A80119'
X'72BB10093A4EB2B7C0A80119'
X'6A980D8339C56205C0A801E0'
X'BE77100E3B0E719BC0A801E1'
X'C51303673BF69342C0A801E0'
X'8A70239E3BF58BA1C0A80119'
X'1F9C3BFE3BFA8DDBC0A801E0'
X'DD5155DF39772AD1C0A801E0'
X'F3DC57DE3BF42808C0A801E1'
X'6AA62ACD3C18E11EC0A801E0'
X'0DE773DE3C1A2989C0A80119'
X'A2002F503DA5AB68C0A80133'
X'535816183DAAD5ABC0A80134'
X'6A352C7439791678C0A801E1'
X'34095E563B8F8F92C0A80119'
X'53BD5FBA399C29D3C0A80118'
X'CEF117593C4546B9C0A80119'
X'738F5DC63C55A258C0A801E0'
X'DD6B66893BC65DF5C0A801E1'
X'AAD349343CB5CF04C0A80118'
X'80B962903CD2C37CC0A80119'
X'9BC868DE3AF3001DC0A801E1'
X'E4A4474F3CDCABB6C0A801E0'
X'EB825BE63CE02694C0A801E0'
X'47D9612C3B16A6E9C0A801E1'
X'40E70E793D04DF62C0A80118'
X'73B80DB03D3EAFFCC0A801E2'
X'287419283D581711C0A80119'
X'BF890C573D58F2A7C0A801E0'
X'F72D5CC23B97AC5FC0A80119'
X'AA2B643E3C45BCE5C0A801E1'
X'DC6204A33DC7CA35C0A80134'
X'0352252B3D51B480C0A80119'
X'884D72593DD32D12C0A80133'
X'780A2DD53E01073DC0A80133'
X'134868933DFFFF6DC0A80132'
X'81D12D363E09B197C0A80135'
X'60CA59C63E19A34AC0A80132'
X'44C064C33AA91E97C0A80118'
X'00ED67BA3AA93F1BC0A80118'
X'AFF1606B3AEF8D0DC0A801E1'
X'AD16644E3A9E6B6BC0A801E1'
X'D5600E563E2EE5C7C0A80134'
X'81E506633E33FE7EC0A80133'
X'6D293F213DAFD593C0A80132'
X'37D94D4539D9F22AC0A80119'
X'7A8423553E550A0CC0A80133'
X'48E42FB73D7D0D87C0A80119'
X'0F7201333E4A6419C0A80134'
X'D83C0B393E70D7E6C0A80134'
X'61312CAC3E4EFDE3C0A80134'
X'A9A209623E7C617DC0A80135'
X'20826B373E98DEF8C0A80132'
X'E7B753213E1DB93FC0A80135'
X'7F1724FF3DD8EB62C0A80135'
X'8D8171AE3D39C9E8C0A801E2'
X'1F964AF53E64ECD4C0A80132'
X'258622C73CA33E44C0A801E1'
X'BA9B035A3F2989BBC0A80133'
X'C6FB13AF3F53FA7EC0A80133'
X'86061A0F3D62DA97C0A801E0'
X'FA5C74E93F655EA2C0A80133'
X'4C1A65F23EB830FAC0A80134'
X'1E482F303FB38F44C0A80132'
X'6DC335513FB3EE86C0A80132'
X'171A34B33DBD8A9CC0A80133'
X'F26735223D6519E9C0A80119'
X'1F9673273FD74623C0A80132'
X'AB0A1B033FE8C70FC0A80133'
X'304404BE3FEA1DCCC0A80132'
X'99054FCA3FEF4DBDC0A80133'
X'E5DD44F73A4A5923C0A80118'
X'9AE83AF73F3FC5FDC0A80133'
X'C51E08BA3FFD9042C0A80132'
X'AF6957713D136D1EC0A801E2'
X'288E2AAB3FF51763C0A80133'
X'2F533D053A42D8C5C0A80119'
X'D712439D3EDCF9F2C0A80133'
X'530E6FE83AD084FAC0A801E1'
X'21C2025D3B660BF6C0A80119'
X'9D4D1E593D3B9555C0A801E0'
X'683844943A5E6D64C0A80119'
X'6EF7139C3FFC3D38C0A80133'
X'FFA243083F650FECC0A80132'
X'197A3DA04036E599C0A80132'
X'31EE54944035227FC0A80132'
X'400E39A0408CF82FC0A80133'
X'CA266FE8409902EFC0A80133'
X'7C9E033240B756DEC0A80132'
X'8C6D25A040C5D995C0A80134'
X'12D833F340D2AFC1C0A80132'
X'8B141CE74111CA01C0A80134'
X'4D9F615041178F70C0A80132'
X'6ECE54054117B475C0A80133'
X'E9AC2CB2411A9D20C0A80133'
X'DFAE4D134148DB82C0A80133'
X'7D6274FF3F936213C0A80132'
X'FEEF6A72414468D2C0A80133'
X'9F6404063D6A7A12C0A80118'
X'32DB58473A005D5AC0A80119'
X'C7032ACC415E140AC0A80133'
X'DC1B420B4040EECFC0A80134'
X'E60C3E4F417E8A8AC0A80133'
X'325C46CA3C794F3EC0A801E1'
X'92A5704441A0A46AC0A80133'
X'03546965418146A6C0A80134'
X'866E45593DA581B3C0A80132'
X'2E9A65F0411A376EC0A80132'
X'63036A4D3E9AF68CC0A80132'
X'74E740E841D9AB0BC0A80132'
X'71B9565741F6E47CC0A80134'
X'90C4679141F7C01EC0A80134'
X'275B677B41F94070C0A80134'
X'8CC827D3402148A3C0A80132'
X'85B2667F41FFFC28C0A80132'
X'D1424F78420BD061C0A80132'
X'15015477402BD0E4C0A80133'
X'78E832C43A16B8F7C0A801E1'
X'E10E03B7421A144DC0A80132'
X'79565B2E41F45610C0A80133'
X'851A147A4219E6FFC0A80133'
