X'0f4a624039e368ebc0a80118'
X'1cef468e3a32b235c0a801e1'
X'3c85106e3a4a08f1c0a801e1'
X'4c6c2f413a2fbfadc0a801e1'
X'654e3ed83a8802f9c0a801e1'
X'676840553a958a76c0a801e0'
X'697d538c3b7db93dc0a80118'
X'97940bee3b6f1003c0a80118'
X'9dbb05f939989066c0a801e1'
X'b9fe02f33a9976d0c0a801e1'
X'c6ac14253c5078d7c0a801e0'
X'c8cb3af33a2fe158c0a80119'
