X'3dea1e1c3fb16b80c0a80134'
X'4f91034648726409c0a80132'
X'5a8118105020aa99c0a80132'
X'61631d8a3fc5b55bc0a80132'
X'63c1036a3f012fe1c0a80134'
X'6a3c016f42fdfacdc0a80132'
X'7271013d3f44b103c0a80134'
X'78320b183e544068c0a80133'
X'95450393493ff838c0a80135'
X'9c630fc0424339d4c0a80132'
X'a57f08173f8b9704c0a80132'
X'a6a301f442bc4758c0a80133'
X'b52553003e76ebe5c0a80135'
X'b739478d49186c8cc0a80132'
