X'13ed45403aac065ac0a80118'
X'13f751ab3b3039a9c0a80118'
X'1675494b3b79f2c4c0a80119'
X'4993107639a42592c0a801e1'
X'6aea10cf39b5b891c0a80151'
X'80561c0939f84adec0a801e0'
X'a49920aa39dfcfb9c0a80119'
X'ca8415b53b2b18aac0a801e0'
X'd09e167e397d8967c0a80118'
X'e26a611039d8afdbc0a80118'
X'f7473b8f3b6781a5c0a801e0'
