X'1ddc00ea3cc468b8c0a80118'
X'37ef056c3b7c216cc0a801e0'
X'685125b63b6fc316c0a801e1'
X'829513283d4706c3c0a80119'
X'9e8f35b93f2619a0c0a80132'
X'd40c43423a2589dfc0a801e1'
X'dc8526d53cd837bac0a80119'
X'dd7408fe3c3030bec0a801e1'
X'df2839543b56e0e0c0a80119'
X'e867326b3b5f1b8dc0a801e0'
