X'0a2c2d533a43a1e1c0a80118'
X'2f576cbe3a2443a6c0a801e0'
X'7ced52f73c5581c3c0a801e1'
X'ac784ff23b697004c0a80119'
X'af9e303c3b1c0b47c0a80119'
X'd12212f63e3edc7ac0a80134'
X'f9a35fd53b8ef7bdc0a80119'
