X'2ea56e8642110ae5c0a80132'
X'3627342b3f9d7536c0a80133'
X'513243ed4269bd3cc0a80132'
X'5b9029a33cb34ea2c0a80118'
X'666926b541d24a7cc0a80134'
X'79bb4d2041e837fcc0a80134'
X'9125453241f2577bc0a80132'
X'99d916733faa8099c0a80134'
X'99e1425f4277d586c0a80133'
X'a5925f163d64e71ec0a801e0'
X'acd10324423b4848c0a80132'
X'b2b9017e3cc70981c0a80118'
X'b7e70da1427f9f12c0a80133'
X'bb2172df3c601f65c0a80119'
X'c32e42573f9efb4ac0a80132'
X'cb9e63ea3faba1bec0a80134'
X'd9804d8c3f158676c0a80133'
