X'3069024c3a7c00e5c0a80118'
X'4bb6490243ab1231c0a80134'
X'7189116f3a1446fbc0a801e1'
X'7ba7085f3b656e05c0a801e0'
X'7ed92d0e3dda37aec0a80134'
X'87ee6f5d3bd7be88c0a80119'
X'8a6a5d7d3d4d6a79c0a80119'
X'8ae84305552c1e07c0a86f92'
X'91ac14253b5ed87bc0a801e1'
X'a5055074544ab2d2c0a86f98'
X'cc4a35653a3e1dbec0a801e0'
X'e1db54cd39de25b3c0a80118'
X'f92c28b93980705ec0a80119'
