X'06e0751e425b84b3c0a80132'
X'0ed73d0654eb8690c0a86f98'
X'13004b14417d49cdc0a80134'
X'22c33d0654eb896cc0a86f98'
X'46b248d245b0d9b5c0a80132'
X'4bb6490243ab1231c0a80134'
X'4c76488748ff21cec0a80133'
X'7ac466b542ea668cc0a80134'
X'807503c03d331d76c0a80119'
X'83710355404881c4c0a80132'
X'8a6860b151923daac0a80135'
X'8ae84305552c1e07c0a86f92'
X'b3f224023d30453bc0a80118'
X'b3f424023d304567c0a80118'
X'da601b1f3bba8b31c0a80118'
