X'140d4a5d4c597cbcc0a80132'
X'46ae731c45abbed6c0a80134'
X'631c523144b45483c0a80133'
X'76c11c853d8a268ec0a801e0'
X'7c3061b846eec1e1c0a80132'
X'88c3190a477bbb1bc0a80132'
X'ce4324aa3e14e5e3c0a80134'
X'e90449da3f07f506c0a80132'
