X'05fc13be3fb3c149c0a80134'
X'39203acd3a01adf8c0a801e0'
X'44f0490e3fc82790c0a80132'
X'657e69993a9c5e75c0a801e1'
X'87372d9c39ff5becc0a801e1'
X'b1c239493b36a848c0a801e1'
X'b40439493b36ac16c0a801e1'
X'e2a5603b3a23cfb5c0a801e1'
