X'0dd03d91407b22e7ffffffff'
X'16b3047841d7103ac0a80134'
X'2bb60e5f3c4fae9bc0a801e0'
X'564951b141a60640c0a80133'
X'5e48035b3f13459dc0a80134'
X'63ee3d0a406340f5ffffffff'
X'70dc46ee39ede6fac0a80119'
X'81386a183c500e77c0a801e0'
X'81506a183c500f5ac0a801e0'
X'81686a183c501026c0a801e0'
X'81726a183c5010d2c0a801e0'
X'81846a183c501192c0a801e0'
X'8eee6a183c501249c0a801e0'
X'8ef86a183c5012bac0a801e0'
X'8f026a183c5014d1c0a801e0'
X'8f5b6a183c5015bfc0a801e0'
X'8fe6495f3a2c1193c0a80118'
X'9c00217741f5de26c0a80134'
X'9e1509ae41db54cdc0a80132'
X'c72147b4400dc927c0a80132'
X'cc666c6d3c74d0d6c0a80119'
X'd0f11bdf41e603cbc0a80134'
X'd3cc4e8b419e9310c0a80132'
X'e4c9472c41fb057dc0a80134'
X'e8b21c4b41fad0d1c0a80133'
X'ec9c3bb23a352f3ac0a801e0'
X'f5612c1f3e4187dbc0a80134'
X'f96e180641fa5dbcc0a80133'
X'fbd93bd941e5be9fc0a80133'
