X'1c092de43d05e9a1c0a80119'
X'23ef5d4539ca52b8c0a801e1'
X'25cf453b3bb10a89c0a80119'
X'26f30c753bb21679c0a80119'
X'2ac74bcd3e5bff9bc0a80132'
X'2cd732cc3c07a701c0a801e1'
X'38e44cf63b02760ec0a80118'
X'397d0ceb3f02daa4c0a80133'
X'3fe6302d3d63dba8c0a801e2'
X'707818f73dfc8111c0a80134'
X'a0463385399d5785c0a80119'
X'a49920aa39dfcfb9c0a80119'
X'a5925f163d64e71ec0a801e0'
X'cebe2d453df0c014c0a80132'
X'db074ad23d5aa870c0a801e0'
X'de2a69073a37ff5ec0a801e0'
X'e86a1c233e8a0dbbc0a80133'
X'ed8f22f73bb0ca16c0a80118'
