X'002c6ad946beb280c0a80134'
X'058345104a48c4b6c0a80134'
X'1d371f924a14b8d1c0a80134'
X'372f3bdd47c449bfc0a80134'
X'5f09215f4295dfaec0a80133'
X'7336235243bdf2edc0a80132'
X'93d7571942160d4ac0a80133'
X'9de84b9047a33e3fc0a80135'
X'aaa73e884242da64c0a80132'
X'fdc636f2481cce16c0a80134'
X'fec5431645ed8d27c0a80132'
