X'061301f547e119c0c0a80135'
X'0a0f262e467b5536c0a80132'
X'0ed82e653ca753aec0a801e0'
X'1d164ab34724da3fc0a80133'
X'1efd61693eb5163cc0a80133'
X'20f64ab34724da73c0a80133'
X'26df0ff3477a5ce4c0a80134'
X'31904331464096dec0a80134'
X'32f05f8a45d0d223c0a80135'
X'3eb553f14086bf0fffffffff'
X'3efc295047ce5408c0a80135'
X'41653b8647322d7cc0a80133'
X'46fb02ec47dfc1dcc0a80134'
X'47115b593ed909a1c0a80134'
X'4779577148bc6597c0a80135'
X'4ce617cb3cbdb561c0a80119'
X'556632cf46e7f487c0a80135'
X'55b02e8a40cddce8c0a80133'
X'5895482a40279374c0a80134'
X'5b7519ab43b4369ec0a80133'
X'5f266a4144b3cb5ec0a80133'
X'6e08749843908334c0a80134'
X'6f0635c24722a489c0a80133'
X'729411ba3e2d159bc0a80133'
X'772068113a367f25c0a80118'
X'7e7102d73f735459c0a80133'
X'80b12d9d42b64183c0a80133'
X'83d5728a39cc3f5dc0a801e0'
X'8746212a414897ddc0a8013c'
X'8c0401933cd22ec0c0a80119'
X'8ec0371d418a9ab7c0a8013c'
X'944d39bd42f7e5d4c0a80134'
X'95d941845613f538c0a86fa6'
X'964e2ad64256feb4c0a80132'
X'9658597847067660c0a80132'
X'9745334242ddb1adc0a80134'
X'a3621d9b47b4cfe5c0a80134'
X'a3ac073847d7f14ec0a80133'
X'a45c6a563a9f9d7bc0a801e0'
X'a4646a563a9f9e0fc0a801e0'
X'a4fd154f481a1f1ec0a80133'
X'a9d338f3448efe79c0a80132'
X'ab1b375c3a9c3b40c0a80119'
X'b6cb70b747e1939cc0a80134'
X'bccf274341f950e4c0a80133'
X'bf6238bd468aa811c0a80135'
X'c27a6f7c4159bd3ec0a80133'
X'c28205d94455cc54c0a80133'
X'c3a80c1446cb8c4dc0a80132'
X'c5cc40943fefe4a6c0a80132'
X'cea90d243ce3e838c0a80119'
X'd3281faf40ce1390c0a80133'
X'e1d020dd43b482bfc0a80133'
X'e20a4ac446ef5c1cc0a80135'
X'e2a76c38482fba92c0a80135'
X'e5d40e9547d47388c0a80134'
X'e73f09cb46568da6c0a80135'
X'e7ed122041b9c518c0a80132'
X'e9af034847cc1985c0a80132'
X'ebde617547dca1a4c0a80133'
X'f1ae308e4173a8afc0a80133'
X'f6da6d5a4846807dc0a80135'
X'f9072a0c4426fec1c0a80133'
