X'003b682d3986a964c0a80118'
X'0045010039763e2fc0a801e0'
X'009652e33ed3cb1dc0a80132'
X'00af211e3d19c385c0a801e0'
X'017e345039d4d503c0a80119'
X'023a237b397808c1c0a801e0'
X'02ec312f40ed8081c0a80133'
X'05ea30113cc98a86c0a801e1'
X'060a16f839aec024c0a801e1'
X'061d572339d35336c0a80119'
X'067a5dad40eea54bc0a80134'
X'06de35bf3cd17701c0a801e0'
X'07b825b33ce2aff8c0a80119'
X'07c86c6539a32d12c0a801e1'
X'07e10cab4564423cc0a80132'
X'07e611573970a4aec0a80118'
X'08a10df539ff2a80c0a801e1'
X'08a24d4239da123ec0a80119'
X'0a2a70023bb871dcc0a801e0'
X'0a2c2d533a43a1e1c0a80118'
X'0b826ab93ae8ed8bc0a80118'
X'0c2c0d5f397c91e5c0a80119'
X'0c6c35223ff63a1ec0a80134'
X'0cb43cb140ce07f1c0a80133'
X'0dcd09ec39c6f0f2c0a80151'
X'0e783307404ac2a9c0a80134'
X'0e905c8d3d14c2a5c0a80118'
X'0f06008739b81f45c0a801e0'
X'0ff12a703d6ad28ac0a80119'
X'102230113cc96c0ec0a801e1'
X'105e63bd39859c03c0a801e0'
X'10742a2f3c7fcb32c0a801e0'
X'10852a3e3bc485a0c0a801e1'
X'115e39d0403fdcfdc0a80134'
X'116544613a1a8012c0a80119'
X'11a35c6a44b6879dc0a80134'
X'11df09393a1415d6c0a801e1'
X'121f46ac39ef0996c0a801e0'
X'12261d703a464b94c0a801e1'
X'13866fec3bb7d3c3c0a80118'
X'13bc11a339b9ca6bc0a801e1'
X'15430a2739c6d85ac0a80151'
X'15b751393ba783f1c0a80119'
X'171b30743a22548bc0a801e1'
X'17703d133980d5fcc0a80118'
X'177e34c33a47edc8c0a80119'
X'17aa622c3a33b64cc0a801e0'
X'183135543a30a63bc0a801e0'
X'18c857fc3a0db0cec0a801e1'
X'1a0d4dc73aba2e79c0a801e1'
X'1a645c9b39a56783c0a801e1'
X'1aaa4c153f4687a6c0a80132'
X'1abc595b3a7a16dec0a801e1'
X'1be3538f3a142b37c0a801e0'
X'1c4b4d2639de1810c0a80118'
X'1cd5720d4130e6f9c0a80132'
X'1e8d08f8398f6f04c0a801e0'
X'1e9552e33ed3cf8dc0a80132'
X'1f580f973998a80dc0a801e0'
X'1fa55f4c40c769e0c0a80134'
X'1fcd026e3cac677fc0a80118'
X'20b303713a3f5af9c0a801e0'
X'219908c13d9d681bc0a80135'
X'22b914d939d6919fc0a80119'
X'234729f13a00369fc0a801e1'
X'23ac6ffd3a6419c0c0a801e0'
X'241674993a185018c0a80118'
X'249b5b1239e13282c0a80118'
X'253434883985f05dc0a801e0'
X'25b2504b3a16fff4c0a80119'
X'25f90ff3477a5c76c0a80134'
X'26316f653d8a7022c0a80118'
X'26a140f83ac1912ec0a801e0'
X'26fc74f239dca1f6c0a80118'
X'278006223a1be174c0a801e0'
X'27dc5edc3bcdb772c0a80119'
X'28eb390c55d74096c0a86fa6'
X'29dc350e3a6798e3c0a80119'
X'2a3857fc3a0dc94bc0a801e1'
X'2a6214d939d69b74c0a80119'
X'2b6756da3973c9aac0a801e0'
X'2bdd456239871f7bc0a80118'
X'2bf137273cfbac16c0a80119'
X'2c6d05e93a732015c0a80118'
X'2d9e042439ee4e4ec0a80118'
X'2da030ef3d8f4b54c0a80132'
X'2dac33c43a6c5a7cc0a801e1'
X'2ebd0edd41c98c86c0a80133'
X'2f322d8739789adfc0a801e0'
X'2fb56fe93b82f811c0a801e0'
X'300418b73f7b900fc0a80134'
X'303743423a2513cdc0a801e1'
X'3054350e3a679987c0a80119'
X'31235a743b61bc12c0a801e0'
