X'00c4377d3b71651ac0a80118'
X'00fd4be339a00af4c0a801e1'
X'02b502ee4cc00e0ac0a80133'
X'02da5f693f7336f8c0a80132'
X'0496720543603721c0a80134'
X'050f4f9a3b760333c0a801e0'
X'0604153f45ce44d3c0a80132'
X'060e6d5239d9cfcac0a80119'
X'07a3631b4612723ac0a80133'
X'07a63b3d454ed865c0a80135'
X'087d0f9b3c73df8ac0a801e1'
X'091014f2461a8ee1c0a80132'
X'0b1d0e793d04d709c0a80118'
X'0b42097a45a478e4c0a80134'
X'0ba7032b41f058e9c0a80134'
X'0c2c0d5f397c91e5c0a80119'
X'0c4616d739c6e94dc0a801e0'
X'0c6f350e3daae468c0a80134'
X'0d1a5e0b3c557067c0a801e1'
X'0e460d7e43a33f2bc0a80134'
X'0ef303db3e13d111c0a80134'
X'0f84581339750eb3c0a801e0'
X'12a91f803c2e48ffc0a801e0'
X'13df3df941ac809dc0a80133'
X'143f6072435c600bc0a80133'
X'145214ea3e3ae1afc0a80133'
X'160663dd41b9da12c0a80132'
X'180a580f398f02a5c0a80118'
X'18762af539d92630c0a80118'
X'19602e2344bcf99ec0a80132'
X'19f55967417ee24bc0a80132'
X'1a0121343cea3082c0a80119'
X'1b2a034041f577b1c0a80134'
X'1b3e3dd53bb0eec5c0a801e0'
X'1b83250f3a1c7191c0a801e1'
X'1c675e213a13fd7cc0a801e1'
X'1c741846470e3705c0a80132'
X'1cd44f363a1a86b8c0a801e0'
X'1d061f803c2e5cf3c0a801e0'
X'1eca6ca24745f504c0a80134'
X'1eed22de43e23171c0a80133'
X'1f43128948275da1c0a80134'
X'205b4285452f3549c0a80132'
X'20ab3ead3af12f7ac0a80119'
X'219e14953a40e8c0c0a801e1'
X'21c8048241e30d18c0a80133'
X'22182b6739c4f07dc0a801e1'
X'221d1fc9446aa39ec0a80134'
X'22512b6e39d0c991c0a80119'
X'2259645153289060c0a86f99'
X'22d14d4539d9eafbc0a80119'
X'238334a339e1e1afc0a80118'
X'246c18ac44161d8ec0a80133'
X'2473336c41f481f2c0a80132'
X'24ab6d773c72b46dc0a801e0'
X'24d503433f396420c0a80132'
X'254d480c41dd591ec0a80133'
X'25e94bb739bc8e60c0a801e0'
X'25f227d13f2034bac0a80133'
X'27046bab3a216636c0a80118'
X'28e1317e39d17914c0a80119'
X'29be6b4739e73c84c0a80119'
X'2a3617cd3a40cbbdc0a801e1'
X'2a6d72eb3c77ed18c0a801e1'
X'2ac03665461f0112c0a80132'
X'2bd82010421e1b02c0a80132'
X'2d0839a53a0a2f42c0a801e0'
X'2d3723ac3a22a456c0a801e0'
X'2d5c50403a422b2bc0a80118'
X'2d6c4d360c7643493a99e35c'
