X'234729f13a00369fc0a801e1'
X'2f58472d39f74c59c0a80118'
X'3f29167739f598afc0a801e0'
X'40cb31253974c92dc0a801e0'
X'460023bf3e0c8e75c0a80132'
X'8c6a67453c8d2e1cc0a801e1'
X'8cdc23603b55bbc9c0a80118'
X'8e3124f13bbce3aac0a80119'
X'96ff00693bcf5430c0a80118'
X'b08026f83b8c19c7c0a801e1'
X'b4d103753b67557cc0a80119'
X'bb9309583b246e55c0a801e0'
X'bd394b7e3c9a3385c0a801e1'
X'c75e48613d51e64fc0a80118'
X'd3d21e613aafc908c0a801e0'
X'f03917a23c977c7ec0a801e0'
