X'111011673f8a26c6c0a80132'
X'5aaa22ab3a7f2b80c0a801e0'
X'77660e7e41e7276fc0a80134'
X'8ec046f63afccacac0a80118'
X'b7990b9f42463db6c0a80133'
X'bf4303a442829280c0a80132'
X'e582035f3ffb8a4ac0a80133'
X'ef684be33ceba1d4c0a80118'
