X'19094d3139fde17cc0a801e0'
X'51f30c553a15a22bc0a80119'
X'99f926183974eef1c0a801e1'
X'a5a22ed639c4c102c0a801e0'
X'abda108539846e20c0a80118'
X'b37f2afc39d8ffbec0a80118'
X'bce26f013977a5bac0a801e1'
X'c3ae278a3ff1de22c0a80134'
X'df79090539d2c099c0a80118'
X'e2082b7a3a773503c0a80119'
X'eb325f6b3c344e72c0a80119'
