X'22412ff7721c6a6678cd169a'
X'2a3d4f973a966c0ec0a80119'
X'2c52008b3a53434fc0a801e0'
X'3748724f3ecf05f0c0a80134'
X'780651393ba76935c0a80119'
X'7f0c5b903a0334fcc0a80118'
X'8fd85b903a0339d0c0a80118'
X'a8d526423a12bc06c0a80119'
X'd5511e1f3b5d78cac0a80118'
X'd99365e53e03b603c0a80132'
X'e7500bf33ad5cc21c0a80119'
X'eb58008b3a53423bc0a801e0'
X'f0bfc13d2ff3cca903543ff2'
X'f6dc454f3d32411fc0a80119'
