X'0b2944953a81e3b4c0a801e0'
X'24bf3a593a33fa6ac0a80118'
X'53575fc83a25b553c0a801e1'
X'53a45fc83a25b6c9c0a801e1'
X'5e814a7539745803c0a801e0'
X'654713e839cb9550c0a80151'
X'6c2338d33b504aaec0a80118'
X'6c3b38d33b504bebc0a80118'
X'784c1009398224d5c0a80118'
X'c36145c83977a2fac0a801e0'
X'c5df1d0d3bc9fb8bc0a801e0'
X'e52344053a51f276c0a80118'
X'ea8a6ad93d0a5676c0a801e1'
X'ffe1010039763daac0a801e0'
