X'29bf07b7418a4594c0a80134'
X'29fc3d97471beb1bc0a80134'
X'30196e0e4049f2cbc0a80134'
X'352e6f1541f2c055c0a80133'
X'3e3b35463eea3147c0a80132'
X'7a8403cf39ff0a5ec0a80119'
X'7df2035c3f3ea285c0a80134'
X'a75844bf39e41355c0a80118'
X'b8b205ba3f0c2ae1c0a80132'
X'e58848833d5a5ba8c0a801e0'
X'f4174c9a46fca4c2c0a80132'
X'f479674b422f5d2dc0a80133'
X'0bfb34d5572fe9d5c0a86fa6'
X'6fb33fbd419ad6c4c0a80133'
X'0b2726ca5526732fc0a86fa6'
X'aedb21a7411f62f8c0a80132'
X'ba9a4b7e3c9a08d7c0a801e1'
X'fb601d463e132a15c0a80135'
X'30ce18a65894f422c0a86fa6'
