X'05274ef74c61b7b3c0a80135'
X'200743a94b5768a0c0a80133'
X'372f3bdd47c449bfc0a80134'
X'4b2969224399cec2c0a80132'
X'59e11ed64b97d5eac0a80134'
X'671c6e884cbeff80c0a80134'
X'7336235243bdf2edc0a80132'
X'7ac466b542ea668cc0a80134'
X'97b4690c399c0583c0a80119'
X'9de84b9047a33e3fc0a80135'
X'ac9734274cddc7f9c0a80132'
