X'08b902d74d50f665c0a80133'
X'448f47fe4bfd26dcc0a80133'
X'483958184179b518c0a80132'
X'4ba25ee84bfbd262c0a80132'
X'5ef159f64d1b9c95c0a80135'
X'636a0dc04d924f89c0a80133'
X'7336235243bdf2edc0a80132'
X'7b375fc845a51d8ac0a80135'
X'8e3329654bb7e9eec0a80134'
X'ae0c5c474be2e1aac0a80135'
X'b8cd43964a4a3246c0a80135'
X'b90f25b24c1667d5c0a80135'
X'e1ce4f4f47a32ec2c0a80133'
X'ea4d08c74bc5eff0c0a80135'
X'ef44059a4d53fe52c0a80135'
