X'aec4567c3a48cdb3c0a80118'
X'138049f441682e49c0a80134'
X'aa856138423200d4c0a80133'
X'ebf958f03c41070cc0a80119'
X'13866fec3bb7d3c3c0a80118'
X'aba363a43bc4c313c0a80119'
X'5c8d1c5c3eef64e8c0a80134'
X'3282106743cd3d40c0a80132'
X'78ca35a6459e895ac0a80134'
X'b0be0a674a20309bc0a80134'
X'd35a1a924588a266c0a80132'
X'2d693fdd45e4adb3c0a80134'
X'007c68a9529f3ec6c0a86f85'
X'ae76639e4e00d28cc0a80133'
X'8461253b4e6e1c2cc0a80132'
X'95503fc74f130a83c0a80133'
X'4c593ba95281e214c0a80135'
X'737a173e52945ba0c0a80135'
X'711c33d352e5f515c0a86f9c'
X'ed8a13c55317b2aac0a86f99'
X'dd2735cd535400b8c0a86f99'
X'ef6b0978397720e8c0a801e1'
X'85795f153a455ff9c0a80119'
X'68c071703a217790c0a801e0'
X'7ba040fc39f8bd9cc0a80118'
X'b514631b3978ca85c0a801e1'
X'cc4e1aa639db216ec0a80118'
X'a18913fe3a2f9c24c0a801e0'
X'd7c8549a39d6273ec0a80119'
X'88213be939dcec47c0a80119'
X'52642c8441ff0772c0a80134'
X'708b14ac39d40f80c0a80118'
X'5679192a3a10c99fc0a801e0'
X'17a16faf39dba528c0a80119'
X'52e0038f3ae89b38c0a80118'
X'0e8b024a3c5f6f18c0a80118'
X'51de4b333a2568f9c0a801e0'
X'381a678e3986afdcc0a80118'
X'5ac84e4b42026794c0a80133'
X'251350613afd8631c0a801e0'
X'30cb68a639785701c0a801e0'
X'3977520539de1faac0a80118'
X'5cc53e0039768640c0a801e0'
X'69c27509397c859bc0a80119'
X'e6f554433d49ebaec0a801e0'
X'c9ea0fc53a20aa45c0a80118'
X'13f6312e3b4a0aefc0a80118'
X'ba6a161b39dba08bc0a80119'
X'bcb415893ba63c5bc0a80118'
X'64b23d3b3bc21a07c0a801e0'
X'0e2723f439c07ca1c0a80151'
X'2ffa41173a357c3bc0a80119'
X'bb1249bc3a2dbc1ac0a80119'
X'6444194639d2af44c0a80119'
X'6cf8499439e1461ac0a80119'
X'2a414d463a85ed5dc0a801e1'
X'f6c738be3a0b0d20c0a801e1'
X'c97074b539f82f60c0a801e0'
X'a014731a39d1b9d3c0a80118'
X'3d2d6b593a26f057c0a80119'
X'3a16012b4322757ec0a80133'
X'e494718a397a78fcc0a801e0'
X'de5a13303d8b4ecdc0a801e0'
X'9ae374984238d1d0c0a80132'
X'604f69b03a31335bc0a801e1'
X'e8423d3b399e2e41c0a80118'
X'86c968da3e2a2dfdc0a80135'
X'24ca4870421d22d4c0a80134'
X'0b632c5b3aca873bc0a80118'
X'62fa22cf399bdc15c0a80119'
X'140e72833a5dda99c0a80119'
X'8b6d3769398182b9c0a80118'
X'dcab02793cc43ef9c0a80119'
X'e2654ae23976e932c0a801e1'
X'eceb5073397d6dcec0a80119'
X'89e8534639e45b7bc0a80118'
X'525c57443a9aae95c0a80118'
X'44f330993a9af9e9c0a80118'
X'68646755416598f5c0a80133'
X'433762e3416a3781c0a80133'
X'cbf30de339b3da05c0a80151'
X'dabd38253a40c6abc0a801e1'
X'8d79664539e34cafc0a80118'
X'1b0b0fdb3baa9175c0a801e1'
X'50084e3e3baab554c0a80118'
X'939c458139dc7d3ac0a80118'
X'efd15db23b70e2f2c0a801e1'
X'151e33043b7a2249c0a80118'
X'252865c03b834f90c0a80119'
