X'0773547450a0fdebc0a80132'
X'0a8b15f04468d216c0a80132'
X'110251063e31a459c0a80134'
X'27c331653d3e5e7bc0a801e0'
X'448f47fe4bfd26dcc0a80133'
X'45cf391f41bb66f0c0a80133'
X'485918843bc74cbbc0a801e1'
X'4bb904544de31dc7c0a80135'
X'4c76488748ff21cec0a80133'
X'72f56e5a4dfa59b2c0a80133'
X'7ac466b542ea668cc0a80134'
X'7e972e7a51f4e9dbc0a80132'
X'885a2cea3d3de930c0a801e2'
X'90832b464d95f48dc0a80132'
X'a3e074a441827fb7c0a80134'
X'b8cd43964a4a3246c0a80135'
X'e8fe6ca740131e3ac0a80134'
X'f17b5cc354f8c975c0a86fa6'
X'f2122cf440cda93fc0a80134'
X'fcf66c0a4bc2e472c0a80134'
